"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2093389",0.234826058095257,10.5095731918848,1.42614081097483,0.162929984579647,0.381944965515441,-4.96479750862974
"ILMN_2082893",0.208655350416351,9.85375021605045,1.4260053898018,0.16296879234547,0.381944965515441,-4.96497070068652
"ILMN_1756204",0.11029452037578,10.3124672056681,1.42592351290673,0.162992259411498,0.381944965515441,-4.96507540719772
"ILMN_1682727",-0.217922245945079,11.5973679497651,-1.42575046213796,0.163041866945351,0.381944965515441,-4.96529669207977
"ILMN_1776213",-0.225734607996578,10.788984528737,-1.42569053187926,0.163059049602475,0.381944965515441,-4.96537332108444
"ILMN_2203768",0.181825606417387,9.07766344657276,1.42544796369512,0.163128611108616,0.382017827145921,-4.96568344865833
"ILMN_1663722",0.236308668945645,9.04277249578168,1.42524882920548,0.163185734559745,0.38205417646344,-4.9659380108499
"ILMN_1798448",-0.142356804407167,9.50646904255952,-1.42512574073112,0.163221051430525,0.38205417646344,-4.96609534451615
"ILMN_2330382",0.305650985799219,12.2106015593697,1.42461483655885,0.163367705751036,0.382307370772861,-4.96674826278529
"ILMN_1766024",-0.12654764781795,11.3897003643145,-1.42412091607353,0.163509583545316,0.382549270593303,-4.96737928085942
"ILMN_1656496",0.103061305525656,8.95366130140186,1.42363753429765,0.163648528018608,0.382784195275925,-4.96799664876864
"ILMN_1783424",-0.109358285702575,12.753804464103,-1.42316960810518,0.163783118417054,0.383008827296378,-4.96859410154223
"ILMN_1712975",0.114222366918013,10.2666934953093,1.42302270936181,0.16382538911452,0.383017513641713,-4.96878162769425
"ILMN_1690371",-0.0840765793604878,10.2540979821227,-1.42266560071225,0.163928184357308,0.383167666683646,-4.96923742999443
"ILMN_1770085",0.177650952647952,9.15575754414231,1.42246440906238,0.163986120580658,0.383212919747883,-4.96949418042218
"ILMN_2314244",0.125740237531494,9.20215179740212,1.42184075563069,0.16416581355262,0.383542613318846,-4.97028985194928
"ILMN_2186597",0.0817903058895903,12.5908786951506,1.42153561523483,0.164253789941742,0.383599650304279,-4.97067904536407
"ILMN_1730291",0.362542196930729,11.1311375422827,1.42148822537097,0.164267456452024,0.383599650304279,-4.97073948250151
"ILMN_1747556",0.113601137029546,10.346079021447,1.42038310266885,0.164586410650319,0.384162229544182,-4.97214836268456
"ILMN_2148290",0.0730984824061139,14.905621278874,1.4203789849913,0.164587599981125,0.384162229544182,-4.9721536103577
"ILMN_1811489",-0.0955527889343681,11.0677731821551,-1.4202516504338,0.164624382038412,0.384162229544182,-4.97231588215576
"ILMN_1676611",0.0977761646792788,12.494884203504,1.41997212798556,0.164705147998755,0.384260436876381,-4.97267205330574
"ILMN_2140510",0.0955739298896148,9.10919892425221,1.41934274718588,0.164887117041097,0.384594651487734,-4.97347379277236
"ILMN_1701487",0.129930840746697,9.95071139248749,1.41877634290749,0.165051013182975,0.384886564544525,-4.97419504199214
"ILMN_1687442",0.120116808467052,9.70308719347523,1.41855232629752,0.165115870519706,0.384947443732165,-4.97448023089494
"ILMN_1709269",-0.212832215578728,10.1845127866501,-1.41830613068017,0.165187172236102,0.385023315108737,-4.97479360953182
"ILMN_2066534",0.182082389119178,9.70471174496952,1.41796399444594,0.165286299895066,0.385084465800033,-4.97522903004017
"ILMN_2398939",0.349738854039627,12.6877824237833,1.41794799564209,0.165290936397356,0.385084465800033,-4.97524938869437
"ILMN_1770479",-0.165541183302564,9.71888292419324,-1.4174835894378,0.165425567296389,0.385185073970877,-4.97584026261067
"ILMN_1704790",0.177236829219103,9.0736184190997,1.41742710135738,0.165441949012736,0.385185073970877,-4.9759121219806
"ILMN_1718877",0.201580093510969,9.07774920412496,1.41739781035978,0.165450443993732,0.385185073970877,-4.97594938252421
"ILMN_1793410",0.0984169420073101,8.9809678505978,1.41706228139094,0.165547778630368,0.385321376034225,-4.97637615446203
"ILMN_1794085",0.101983487547424,9.86433022179759,1.41675826863834,0.16563600948495,0.38534763921158,-4.97676276294828
"ILMN_2228044",0.14207559650253,9.09994780689633,1.41675608349698,0.165636643792374,0.38534763921158,-4.97676554149572
"ILMN_1744647",-0.086222415645062,10.4258887284285,-1.41650300757275,0.165710120116747,0.385428314970678,-4.97708731825368
"ILMN_2330861",0.101467386897445,9.14274756707414,1.41565714304234,0.165955888479579,0.385737852353414,-4.97816243679038
"ILMN_1730391",0.0907908966172643,10.0590098118013,1.41558071957569,0.165978107634619,0.385737852353414,-4.97825954540373
"ILMN_2292123",-0.181421105834215,9.26060676539801,-1.4154166405036,0.166025819441762,0.385737852353414,-4.97846801932309
"ILMN_1772242",0.190481762882809,9.19035482162939,1.41531501649533,0.166055375627592,0.385737852353414,-4.97859712905349
"ILMN_2385161",-0.0963214221236525,9.77141617487355,-1.41529188103125,0.166062104891486,0.385737852353414,-4.97862652070691
"ILMN_2394571",-0.0787979627296362,12.7734670971502,-1.41524348490605,0.166076182254435,0.385737852353414,-4.97868800252923
"ILMN_1676679",-0.102335839144824,9.05009424111161,-1.41498101919369,0.166152544056224,0.385825005295589,-4.97902140339406
"ILMN_1779347",-0.099714435292008,10.6092126195149,-1.41453577944722,0.166282145225432,0.386035716445301,-4.97958685109956
"ILMN_1658702",0.0895801471379904,9.478097454127,1.41409059667374,0.166411809178078,0.386246474853977,-4.98015206978793
"ILMN_1763875",-0.0687785452940728,11.6937874691429,-1.41326812306905,0.166651571714321,0.386665437951388,-4.98119589720613
"ILMN_1756862",0.144756281120083,9.04955067947848,1.413204384858,0.166670163610615,0.386665437951388,-4.98127676706776
"ILMN_1777344",0.103765572587361,13.6681651073657,1.4122878536562,0.166937688102792,0.387114446549497,-4.9824392896509
"ILMN_2206188",0.194354683577271,12.6994622006869,1.41213020750113,0.166983737084979,0.387114446549497,-4.98263918011124
"ILMN_2359211",-0.0981019771762411,9.11874061496535,-1.41206028162394,0.167004165865134,0.387114446549497,-4.98272783767283
"ILMN_1703844",-0.133906603592141,9.13819556260982,-1.41200752135938,0.167019581025885,0.387114446549497,-4.98279472875226
"ILMN_1658373",0.150856616483406,9.62060619926183,1.41166788970015,0.167118839193447,0.387228352032764,-4.98322527146629
"ILMN_1773742",-0.106953426692061,11.3874814442738,-1.41157263651773,0.16714668547579,0.387228352032764,-4.98334600520303
